SERCODIGO;DIA;MES;ANO;VALVALOR
PAN4_TCERXTINPC4;1;10;2004;168,9535508
PAN4_TCERXTINPC4;1;1;2005;160,9806279
PAN4_TCERXTINPC4;1;4;2005;146,3808134
PAN4_TCERXTINPC4;1;7;2005;138,0742239
PAN4_TCERXTINPC4;1;10;2005;131,1706837
PAN4_TCERXTINPC4;1;1;2006;128,2071294
PAN4_TCERXTINPC4;1;4;2006;129,6997967
PAN4_TCERXTINPC4;1;7;2006;130,1399447
PAN4_TCERXTINPC4;1;10;2006;129,0036535
PAN4_TCERXTINPC4;1;1;2007;126,2299485
PAN4_TCERXTINPC4;1;4;2007;120,5734686
PAN4_TCERXTINPC4;1;7;2007;117,5045694
PAN4_TCERXTINPC4;1;10;2007;112,265335
PAN4_TCERXTINPC4;1;1;2008;110,9032712
PAN4_TCERXTINPC4;1;4;2008;107,1829456
PAN4_TCERXTINPC4;1;7;2008;105,2185426
PAN4_TCERXTINPC4;1;10;2008;130,6982641
PAN4_TCERXTINPC4;1;1;2009;129,3697655
PAN4_TCERXTINPC4;1;4;2009;118,2002867
PAN4_TCERXTINPC4;1;7;2009;108,7055274
PAN4_TCERXTINPC4;1;10;2009;103,3340629
PAN4_TCERXTINPC4;1;1;2010;104,1823079
PAN4_TCERXTINPC4;1;4;2010;99,70726862
PAN4_TCERXTINPC4;1;7;2010;98,78197271
PAN4_TCERXTINPC4;1;10;2010;97,32845077
PAN4_TCERXTINPC4;1;1;2011;95,47120535
PAN4_TCERXTINPC4;1;4;2011;92,82613185
PAN4_TCERXTINPC4;1;7;2011;94,95401987
PAN4_TCERXTINPC4;1;10;2011;101,1629965
PAN4_TCERXTINPC4;1;1;2012;98,82801246
PAN4_TCERXTINPC4;1;4;2012;107,5000018
PAN4_TCERXTINPC4;1;7;2012;109,6390216
PAN4_TCERXTINPC4;1;10;2012;111,6512568
PAN4_TCERXTINPC4;1;1;2013;106,8440125
PAN4_TCERXTINPC4;1;4;2013;108,5368576
PAN4_TCERXTINPC4;1;7;2013;119,854056
PAN4_TCERXTINPC4;1;10;2013;119,1047417
PAN4_TCERXTINPC4;1;1;2014;121,6473548
PAN4_TCERXTINPC4;1;4;2014;112,8291145
PAN4_TCERXTINPC4;1;7;2014;113,7940312
PAN4_TCERXTINPC4;1;10;2014;122,3255424
PAN4_TCERXTINPC4;1;1;2015;128,2810514
PAN4_TCERXTINPC4;1;4;2015;133,587339
